јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;NZVC;јдр;«нчн;;
3C8;03DC;3C8;0000;000;0000;0;0000;0000;0100;;;;
3C8;03DC;3C9;03DC;3C8;03DC;0;03C8;0000;0101;;;;
3C9;A000;3CA;A000;000;0000;0;03C9;0000;0101;;;;
3CA;E000;3CB;E000;000;0000;0;03CA;0000;0101;;;;
3CB;E000;3CC;E000;000;0000;0;03CB;0000;0101;;;;
3CC;AF40;3CD;AF40;3CC;0040;0;0040;0040;0001;;;;
3CD;680;3CE;0680;3CD;0680;0;03CD;4000;0001;;;;
3CE;500;3CF;0500;3CE;4000;0;03CE;8000;1010;;;;
3CF;EEFB;3D0;EEFB;3CB;8000;0;FFFB;8000;1010;3CB;8000;;
3D0;AF14;3D1;AF14;3D0;0014;0;0014;0014;0000;;;;
3D1;EEF8;3D2;EEF8;3CA;0014;0;FFF8;0014;0000;3CA;0014;;
3D2;4EF5;3D3;4EF5;3C8;03DC;0;FFF5;03F0;0000;;;;
3D3;EEF5;3D4;EEF5;3C9;03F0;0;FFF5;03F0;0000;3C9;03F0;;
3D4;ABF4;3D5;ABF4;3EF;0300;0;FFF4;0300;0000;3C9;03EF;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;0300;0000;;;;
3D6;7EF4;3D7;7EF4;3CB;8000;0;FFF4;0300;1010;;;;
3D7;F801;3D8;F801;3D7;F801;0;03D7;0300;1010;;;;
3D8;EEF2;3D9;EEF2;3CB;0300;0;FFF2;0300;1010;3CB;0300;;
3D9;83CA;3DA;83CA;3CA;0013;0;0012;0300;1010;3CA;0013;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;0300;1010;;;;
3D4;ABF4;3D5;ABF4;3EE;F200;0;FFF4;F200;1000;3C9;03EE;;
3D5;F203;3D9;F203;3D5;F203;0;0003;F200;1000;;;;
3D9;83CA;3DA;83CA;3CA;0012;0;0011;F200;1000;3CA;0012;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;F200;1000;;;;
3D4;ABF4;3D5;ABF4;3ED;F500;0;FFF4;F500;1000;3C9;03ED;;
3D5;F203;3D9;F203;3D5;F203;0;0003;F500;1000;;;;
3D9;83CA;3DA;83CA;3CA;0011;0;0010;F500;1000;3CA;0011;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;F500;1000;;;;
3D4;ABF4;3D5;ABF4;3EC;FC00;0;FFF4;FC00;1000;3C9;03EC;;
3D5;F203;3D9;F203;3D5;F203;0;0003;FC00;1000;;;;
3D9;83CA;3DA;83CA;3CA;0010;0;000F;FC00;1000;3CA;0010;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;FC00;1000;;;;
3D4;ABF4;3D5;ABF4;3EB;0500;0;FFF4;0500;0000;3C9;03EB;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;0500;0000;;;;
3D6;7EF4;3D7;7EF4;3CB;0300;0;FFF4;0500;0001;;;;
3D7;F801;3D8;F801;3D7;F801;0;03D7;0500;0001;;;;
3D8;EEF2;3D9;EEF2;3CB;0500;0;FFF2;0500;0001;3CB;0500;;
3D9;83CA;3DA;83CA;3CA;000F;0;000E;0500;0001;3CA;000F;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;0500;0001;;;;
3D4;ABF4;3D5;ABF4;3EA;F000;0;FFF4;F000;1001;3C9;03EA;;
3D5;F203;3D9;F203;3D5;F203;0;0003;F000;1001;;;;
3D9;83CA;3DA;83CA;3CA;000E;0;000D;F000;1001;3CA;000E;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;F000;1001;;;;
3D4;ABF4;3D5;ABF4;3E9;F200;0;FFF4;F200;1001;3C9;03E9;;
3D5;F203;3D9;F203;3D5;F203;0;0003;F200;1001;;;;
3D9;83CA;3DA;83CA;3CA;000D;0;000C;F200;1001;3CA;000D;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;F200;1001;;;;
3D4;ABF4;3D5;ABF4;3E8;F900;0;FFF4;F900;1001;3C9;03E8;;
3D5;F203;3D9;F203;3D5;F203;0;0003;F900;1001;;;;
3D9;83CA;3DA;83CA;3CA;000C;0;000B;F900;1001;3CA;000C;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;F900;1001;;;;
3D4;ABF4;3D5;ABF4;3E7;13D5;0;FFF4;13D5;0001;3C9;03E7;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;13D5;0001;;;;
3D6;7EF4;3D7;7EF4;3CB;0500;0;FFF4;13D5;0001;;;;
3D7;F801;3D8;F801;3D7;F801;0;03D7;13D5;0001;;;;
3D8;EEF2;3D9;EEF2;3CB;13D5;0;FFF2;13D5;0001;3CB;13D5;;
3D9;83CA;3DA;83CA;3CA;000B;0;000A;13D5;0001;3CA;000B;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;13D5;0001;;;;
3D4;ABF4;3D5;ABF4;3E6;A3D8;0;FFF4;A3D8;1001;3C9;03E6;;
3D5;F203;3D9;F203;3D5;F203;0;0003;A3D8;1001;;;;
3D9;83CA;3DA;83CA;3CA;000A;0;0009;A3D8;1001;3CA;000A;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;A3D8;1001;;;;
3D4;ABF4;3D5;ABF4;3E5;FA00;0;FFF4;FA00;1001;3C9;03E5;;
3D5;F203;3D9;F203;3D5;F203;0;0003;FA00;1001;;;;
3D9;83CA;3DA;83CA;3CA;0009;0;0008;FA00;1001;3CA;0009;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;FA00;1001;;;;
3D4;ABF4;3D5;ABF4;3E4;0740;0;FFF4;0740;0001;3C9;03E4;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;0740;0001;;;;
3D6;7EF4;3D7;7EF4;3CB;13D5;0;FFF4;0740;1000;;;;
3D7;F801;3D9;F801;3D7;F801;0;0001;0740;1000;;;;
3D9;83CA;3DA;83CA;3CA;0008;0;0007;0740;1000;3CA;0008;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;0740;1000;;;;
3D4;ABF4;3D5;ABF4;3E3;F000;0;FFF4;F000;1000;3C9;03E3;;
3D5;F203;3D9;F203;3D5;F203;0;0003;F000;1000;;;;
3D9;83CA;3DA;83CA;3CA;0007;0;0006;F000;1000;3CA;0007;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;F000;1000;;;;
3D4;ABF4;3D5;ABF4;3E2;F400;0;FFF4;F400;1000;3C9;0300;;
3D5;F203;3D9;F203;3D5;F203;0;0003;F400;1000;;;;
3D9;83CA;3DA;83CA;3CA;0006;0;0005;F400;1000;3CA;0006;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;F400;1000;;;;
3D4;ABF4;3D5;ABF4;3E1;FC00;0;FFF4;FC00;1000;3C9;0030;;
3D5;F203;3D9;F203;3D5;F203;0;0003;FC00;1000;;;;
3D9;83CA;3DA;83CA;3CA;0005;0;0004;FC00;1000;3CA;0005;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;FC00;1000;;;;
3D4;ABF4;3D5;ABF4;3E0;0780;0;FFF4;0780;0000;3C9;0003;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;0780;0000;;;;
3D6;7EF4;3D7;7EF4;3CB;13D5;0;FFF4;0780;1000;;;;
3D7;F801;3D9;F801;3D7;F801;0;0001;0780;1000;;;;
3D9;83CA;3DA;83CA;3CA;0004;0;0003;0780;1000;3CA;0004;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;0780;1000;;;;
3D4;ABF4;3D5;ABF4;3DF;0C00;0;FFF4;0C00;0000;3C9;03DF;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;0C00;0000;;;;
3D6;7EF4;3D7;7EF4;3CB;13D5;0;FFF4;0C00;1000;;;;
3D7;F801;3D9;F801;3D7;F801;0;0001;0C00;1000;;;;
3D9;83CA;3DA;83CA;3CA;0003;0;0002;0C00;1000;3CA;0003;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;0C00;1000;;;;
3D4;ABF4;3D5;ABF4;3DE;63CE;0;FFF4;63CE;0000;3C9;03DE;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;63CE;0000;;;;
3D6;7EF4;3D7;7EF4;3CB;13D5;0;FFF4;63CE;0001;;;;
3D7;F801;3D8;F801;3D7;F801;0;03D7;63CE;0001;;;;
3D8;EEF2;3D9;EEF2;3CB;63CE;0;FFF2;63CE;0001;3CB;63CE;;
3D9;83CA;3DA;83CA;3CA;0002;0;0001;63CE;0001;3CA;0002;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;63CE;0001;;;;
3D4;ABF4;3D5;ABF4;3DD;0000;0;FFF4;0000;0101;3C9;03DD;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;0000;0101;;;;
3D6;7EF4;3D7;7EF4;3CB;63CE;0;FFF4;0000;1000;;;;
3D7;F801;3D9;F801;3D7;F801;0;0001;0000;1000;;;;
3D9;83CA;3DA;83CA;3CA;0001;0;0000;0000;1000;3CA;0001;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;0000;1000;;;;
3D4;ABF4;3D5;ABF4;3DC;D3D7;0;FFF4;D3D7;1000;3C9;03DC;;
3D5;F203;3D9;F203;3D5;F203;0;0003;D3D7;1000;;;;
3D9;83CA;3DB;83CA;3CA;0000;0;FFFF;D3D7;1000;3CA;0000;;
3DB;100;3DC;0100;3DB;0100;0;03DB;D3D7;1000;;;;
